Rating,Users,Field,Action,Developer,Description
0.0,0 users,Business & finance,Week's Expense,Monmita Kalita,"Dr. Expense is simple and easy, where she would tell you the detailed expense of your last week or month. People use to miss the track of their expense,they find it difficult to remember on where did they spend so much money. Therefore,this chatbot would help them to keep track of their expense so that they can save money as well."
4.3,3 users,Business & finance,Expense Tracker,,"Expense Tracker agent will keep track of your spending and provides report/insights whenever needed. You can add expenses, get expense summary and also find/retrieve any specific expense from the past. All your expenses will be stored in a spreadsheet under your Google Drive. You can also view the expenses any time directly using the Google drive mobile app or web

Add Expense:
You can easily add your day to day expenses by providing the amount, date, location and category. Location is where the money was spent(like Macys, Subway, Emirates & so on). Category could be food, travel, shopping and so on. 
You could say ‘Tell expense tracker I have spent $100 for food today at subway’
Note:Location and date are optional

Get Expense Report:
You can get insights into your expenses by saying ‘Ask expense tracker for my expense report’. This would give you the expense report covering all your expenses in the past 30 days.

Find Expense:
Expense tracker can also find how much did you spend based on date, location and category.  ‘Ask expense tracker how much did I spend for travel in the past month’  or ‘Ask expense tracker how much did I spend at Macys on 12th December 2016’

Sample Invocations
Ok Google, talk to expense tracker
Ok Google, let me talk to expense tracker
Ok Google, tell expense tracker I have spent $50 on 12/12/2016
Ok Google, tell expense tracker that I have spent $200 for movies at AMC today
Ok Google, ask expense tracker for my report
Ok Google, ask expense tracker how much did I spend at Macys in the past week
Ok Google, ask expense tracker how much did I spend for food yesterday"
3.7,3 users,Business & finance,Fitwell,Fitwell,"I am your smart fitness coach. I am here to help you reach your fitness goal and have fun doing it. I adapt and learn from you. I realise life sometimes gets in the way, but don’t worry, you are not alone."
3.0,2 users,Business & finance,Mr. Ledger,Anthony Waters,"Mr. Ledger records your income and expenses into a Google Sheet, which can later be exported into an OFX file for import into compatible accounting software. See more on our website https://www.mrledger.net"
5.0,1 users,Business & finance,First Abilene,First Abilene FCU,"First Abilene's app allows you to check your account balances, review the last few transactions, or make transfers between your savings and checking accounts."
4.8,10 users,Business & finance,Levin Co-Pilot,Yun Solutions,"Levin Cognitive Co-Pilot gives you trip summary and driving analytics for your last trip such as driving score, and events such as hard-brakes, over-speeding, idling time, sharp turns"
3.9,27 users,Business & finance,Tip Calculator,Kevin Huang,Tip Calculator is the simplest and easiest way to calculate the amount of tip you need to give based on the cost of a meal and the percent you wish to tip.
2.4,10 users,Business & finance,Narwhal Bacon,,Narwhal Bacon will read post title and self text (if available) of the subreddits you tell it to browse.
0.0,0 users,Business & finance,CMAP,CMAP Software Ltd,CMAP assistant helps you get the best out of CMAP so you can see the status of your projects or see what you have scheduled for that day
5.0,1 users,Business & finance,Click & Pledge,Click & Pledge,"Google Assistant connects you to your Click & Pledge reporting providing stats of your account(s) just by asking.  Ask the assistant what is your stats for today, yesterday, this week, last week, this quarter, last quarter, this year, last year, etc.  Google Assistant will provide you with detailed account stats as well as year-to-year comparisons."
4.5,8 users,Business & finance,Mina Finance,Mina,"Mina is a free financial chatbot which you can securely connect all your bank accounts or credit cards and ask her questions or orders like “how much have I spent on coffee this month?” , ""Where is my money going?"", ""Tell my balance"" or ""Tell me a joke!"""
3.3,7 users,Business & finance,Capriza,"Capriza, Inc","Whether it’s enabling field sales teams, digitizing pen-to-paper processes, or reducing bottlenecks in key corporate processes, Capriza’s mobile solution services allow organizations to dramatically improve business agility, affecting the top and bottom line.

This is a technology preview. If you would like to join our design partner program for teh Capriza Concierge bot please contact cto@capriza.com."
5.0,4 users,Business & finance,Starfish Agent,Rai Integration Ltd,"This action links up with Starfish business accounts. If you have free agent configured in Starfish Business section then you can get all your accounting information from free agent using voice channels. At this time we only allow information retrieval but soon you will be able to write and send invoices using all voice channels. If you don't already have a Starfish Business accounts and not familiar with Starfish actions then follow the process below to set up this skill:

1. Register for Starfish Business Account at https://www.starfishmint.com/business
2. Login to https://www.starfishmint.com/business and configure all services you need. For freeagent you will need to link your account with Freeagent account.
3. Link your action with Starfish business account."
3.8,10 users,Business & finance,Cloud Fleet Manager,,"To use the skill, an API key must be created in your Cloud Fleet Manager instance. 
Then your able to sign up in the Google Assitant on your Phone. 
If you have questions or suggestions about CFM Skill, please contact dau@hanseaticsoft.com.

Receive information even faster and more convenient!
This skill enables commercial users of the Cloud Fleet Manager to quickly and easily access relevant information from the system. Using voice control, users can request specific information and display it on screen or receive it directly via voice output. It can be used to instantly retrieve information such as open claims statistics, upcoming maintenance tasks, crew changes, or upcoming dockings. In addition, it is possible to communicate directly with the CFM via voice input and output and thus obtain information on, for example, the next ships that arrive in a certain port or individual crew members of a ship.

Prerequisite for the use of this skill is a commercial account of Cloud Fleet Manager.
Required hardware: Google-enabled device

Possible commands: ok Google, asks Cloud fleet manager for:
- bunker to confirm 
- claims 
- flash briefing 
- maintenance statistic 
- vessel visits
- off-hires 
- open disturbances
- watch list 
- crew changes
- upcoming dockings
- vessel certificates

Questions with direct speech output:
- Which vessels will reach {Singapore} next?
- Who is the {Master} of {HS Hanseaticsoft}?

* {} The values in braces are example values and should be replaced by ports / ranks.

Browser control
- show dashboard"
5.0,3 users,Business & finance,ITC Opera,,"ITC Opera is specifically made for the resources assigned to Micros project.

Ask ITC Opera for Micros project status. It answers more than 100 questions related to Micros Project.

Unlock the power of voice to know the real time status of Micros project.

Use our ITC Opera to understand and get the real time information of project status and activities.

The Micros project members can use this app to say/ask general questions also.

ITC Opera is great fun and real time information provider for the project and is fun."
4.8,8 users,Business & finance,U. S. Bank,U. S. Bank,"Conduct simple, everyday banking tasks for your U.S. Bank checking, savings or credit card accounts with help from Google Assistant. Once you have enabled the application, follow the simple instructions to link your account, provided within the Google Home app. 

Securely log in with your online banking username and password, then create a unique four-digit security code, which you will be prompted for each time you invoke the U.S. Bank application. 

After linking your account, say ‘Ok Google, Talk to U.S. Bank…’ Once you have been authenticated, you can: 

Ask for account balance information: 
“Ok Google, ask U.S. Bank what’s my checking account balance?” 
“Ok Google, ask U.S. Bank how much do I owe on my credit card?” 

Ask for recent transactions: 
“Ok Google, ask U.S. Bank what are the most recent transactions on my credit card?” 
“Ok Google, ask U.S. Bank to give me more details on my checking account transactions.” 

Ask for due dates: 
“Ok Google, ask U.S. Bank when is my next credit card bill due?”"
5.0,4 users,Business & finance,CityFALCON,City Falcon Limited,"CityFALCON provides personalised financial news for your watchlist of stocks, commodities, foreign exchange, cryptocurrencies, indices, private companies, bonds, funds, financial topics and more. 
Create and manage watchlists, track stories for your portfolio, check out what is trending at the moment and what is going on in the markets, all this with one skill. To get the full list of available commands visit https://www.cityfalcon.com/news/google_home"
4.0,62 users,Business & finance,Work Assist,Flow Harmonics Labs Private Limited,Work Assist is an AI-Driven Assistant for Professionals to achieve The Highest State of Performance
3.8,8 users,Business & finance,Smart Crypto,RahulMR,"Smart Crypto gives you value of crypto currencies in local currencies. It can help you to manage your crypto portfolios. You can add/delete coins from your portfolio and get the total portfolio value anytime.

Set currency :

Say ""Set currency to INR"" or type ""CURR USD"" 

Crypto Value :

Ask ""What's the value of BTC / What's the value of 1.23 XRP / 1.56 ADA ""

Manage Portfolio:

Say ""Add 1.45 BTC"" will add 1.45 BTC to the portfolio.
Say ""Remove 1 BTC"" will remove 1 BTC from the portfolio.
Say ""Delete BTC"" will delete BTC from the portfolio.

Saying ""Add/Remove/Delete"" will give you prompts to provide the coin and quantity and will enable you to add/remove/delete from the portfolio.

Say ""What's my portfolio"" to get the portfolio value .

Use the provided suggestions for easy coin access or to add/delete/remove coins from portfolio."
5.0,1 users,Business & finance,Fort Lauderdale Real Estate,Voiceter Pro LLC,"Wondering what the Real Estate market is doing in Fort Lauderdale? 
Google Assistant will provide you with up to the minute market trends.
You will also be able to find the approximate market value of your home or any other home"
5.0,4 users,Business & finance,Mortgage calculator,,Mortgage calculator is the most complete and the esiest Android app to help you managing your loans and calculatint payments
3.3,6 users,Business & finance,my dutch mortgage advisor,De Nationale Hypotheekbond,Mortgage advisor can assist you with calculating your maximum mortgage.
3.7,32 users,Business & finance,Budget Penny,Jomar Tigcal,"Budget Penny is your budget assistant. She can help you with your finances. Simply tell her your monthly budget and update her of your expenses as often as you like. Moreover, you can ask her how much is your remaining balance or whether you still have budget."
3.8,37 users,Business & finance,Revolution Digital,Revolution Digital,Revolution Digital is a marketing and Social Media Agency located in New Jersey. Our assistant can help you find general information about our company.
3.9,18 users,Business & finance,Money manager,Arzensoft,"Money manager will keep track of all your expenses, incomes and you can get reports from a period or a specific date. 

All your transactions can be managed in the companion Android app ""Money manager"" by Arzensoft. Please remember to login with the same account you linked with this app. 

Examples to add expenses:

- Today I spent 5 dollars in my breakfast
- I pay 10 dollars in the store
- I gave 100 dollars to my brother
- Yesterday I went to the movies and I spent 40 dollars

Examples to add income:

- Today I got my salary for 3500 dollars
- I earn 200 dollars
- I have an income of 100 dollars

Examples to get your summary:

- What is my balance?
- How much money I earn this month?
- How much money I earn this week?
- How much money I spent last month?
- How much money I spent this month?

If you want to delete or edit the records it can be done from the Money Manager App.
https://play.google.com/store/apps/details?id=com.arzensoft.expensemanager"
0.0,0 users,Business & finance,Long Macch Council,Long Macch IT Solutions,Online assistant enabling 24/7 access to context specific Council information.
1.7,3 users,Business & finance,Boar Bank,,Boar Bank is an imaginary piggy bank that lets you deposit USD and check your balance.
3.4,5 users,Business & finance,Blockchain Activity,,"Blockchain Activity displays blockchain utilization statistics for multiple cryptocurrencies, enabling you to check at a glance which cryptocurrencies are supporting the most transactions."
0.0,0 users,Business & finance,Tels,Direct Supply,Get more done today. Get started with TELS.
0.0,0 users,Business & finance,business Elly,ECS Inc,Elly for a business will assist in answering frequently asked questions and registrations. Currrently FAQ and registration is for ECS Inc.
4.2,5 users,Business & finance,Programmeroo,Programmeroo,Programmeroo helps programmers finding a job to take their career to the next level.
3.2,23 users,Business & finance,Matthew the Code Guy,Matthew Nguyen,"Matthew Nguyen will answer questions about his availability, skillset, experience, and what he is looking for in the next opportunity. You can ask such question as ""are you currently looking for new opportunity"", ""what type of project have you worked on?"", etc."
3.1,34 users,Business & finance,Mosaic AI,Mosaic.ai,"Build resumes that get you noticed and find the job you want. Discover the keywords, concepts, and topics you may have overlooked that you need in your resume to get interviews. 

Make a career move with your own artificial intelligence powered agent that works for you. Plan your career and review the best skill and team culture matched opportunities.

Remain anonymous in your career search while you are presented only the best jobs that you’ll like. With the team and work environment you want."
3.7,28 users,Business & finance,Michael's Resume,Michael Bricout,This App is the equivalent of the Resume of Michael Bricout. Follow the guidelines and ask Google what you want to know about Michael !
3.1,59 users,Business & finance,Left Field Labs,Left Field Labs,"Say hello to Left Field Labs! Learn about recent projects, job openings, contact information and more."
4.0,4 users,Business & finance,ATS Job Search,ALPER OREN,"Application Tracking System  (ATS) Job Search can help in your career. It searches jobs from range of organisations of all sizes with vacancies. The Application Tracking System (ATS) system searches the latest jobs in AA, Buckinghamshire County Council, Heathrow, Highways England, HS2, Mercedes Benz, Rental Cars, Saga, Spire and Virgin Media

https://careers.mercedes-benz.co.uk/job-search/
http://www.seadrillcareers.com/search-apply/
http://careers.hs2.org.uk/join-us/search-and-apply/
https://www.theaacareers.co.uk/apply/
http://careers.heathrow.com/
https://www.spirehealthcare.com/recruitment/recruitment/
http://jobs.buckscc.gov.uk/
http://www.sagacareers.co.uk/job-search/"
1.2,4 users,Arts & lifestyle,events finder,,"Find events and activities locally or globally, service can give events location and time. Events can be searched for in a number of ways including

1. A specific event by name
2. Events for a certain category (musicals, family, sporting events)
3. A specific date can be given or a generic date range (i.e next week/month)"
2.0,1 users,Arts & lifestyle,Barbados Electoral,Electoral & Boundaries Commission,"EBCBOT helps you see your Constituency, Polling District and Polling Station in Barbados"
0.0,0 users,Arts & lifestyle,Worthington Libraries,Pellucent Technologies LLC.,"You can search for upcoming events at any of the following Library locations within Worthington Libraries, in Worthington, Ohio:
1. Old Worthington Library
2. Northwest Library
3. Worthington Park Library
 
SAMPLE QUESTIONS:
 
Search events for any date and age group at any Library branch:
* What's happening today?
* What's going on today at Worthington Park Library?
* What's going on this week at Old Worthington Library?
* Are there any events for kids today?
* Are there any events for teens this week?
* Are there any events for toddlers this weekend?
* Are there any events for adults next week?
     
----------------------
AGE GROUPS OPTIONS
- 'Children' ( or 'Babies' or 'Toddlers' or 'Preschoolers' or 'Kids' or 'Tweens')
- 'Teens'
- 'Adults'
- 'All ages'
  
----------------------
While hearing event details, navigate faster between the events by saying: 
* Next 
* Previous 
* Repeat 
 
We would love to hear your feedback and suggestions for new features. 
Please leave your feedback with any Library staff member. Thanks!"
0.0,0 users,Arts & lifestyle,GUG.cz,Denis V.,"GUG Czech Republic can help you with finding your next event or closest GUG to you. You can ask for next event, time of the next event or list of next events for GDG, GEG, GXG, GBG or even a local group (GDG Ostrava for example)."
3.0,1 users,Arts & lifestyle,Capital Realtors,Voiceter Pro LLC,"The Greater Capital Association of REALTORS®, Inc. (GCAR),  is a professional trade association which provides its members value through programs and services, promotes cooperation and ethics among its members, and supports public property rights.
GCAR strives to provide its members with programs and services which enhance the members’ ability to successfully conduct their businesses in a competent and ethical manner, and to promote the public’s right to use and transfer real property.

Powered by Voiceter Pro."
0.0,0 users,Arts & lifestyle,Virginia Trout Buddy,Eric Miles,"Get information on past Virginia Department of Game & Inland Fisheries trout stocking. You can ask for recent stockings, stockings for a specific date, stockings for a date range, or stockings for a specific county. Note - the VDGIF does not provide future dates, they report after the stocking has been completed. Virginia Trout Buddy is Echo Show enabled, plotting stocking locations on a map of Virginia. This Skill is in no way affiliated with the Virginia Department of Game & Inland Fisheries."
3.7,3 users,Arts & lifestyle,Meetup info,Jana Bergant,"Meetup info is an app that helps you find upcoming meetups, list trough them, and read information about them"
0.0,0 users,Arts & lifestyle,My Sachse,Imaginuity,Learn more about the City of Sachse
4.2,9 users,Arts & lifestyle,Teak's conversation,teak Berger,Have you ever not known what to do with friends!  Well now you can just ask and we will provide you with options until you find one that you like.
3.8,6 users,Arts & lifestyle,Sunfish Events,Rai Integration Ltd,"Search through one of the world's largest collection of events, taking place in local near you or in cities around the world, from concerts and sports to singles events and political rallies. 

All by just asking Google what's on near you. 

This action is powered by Eventful, For eventful terms and conditions refer this URL -  http://policies.cbslocal.com/terms-of-use/"
3.2,8 users,Arts & lifestyle,Foreign Advisor,Lowaire Digital,"Foreign Advisor can provide you with the latest Government travel advice information and updates. 

You can say things like:
Ask Foreign Advisor for Information about Algeria
Ask Foreign Advisor about Afghanistan
Ask Foreign Advisor for travel advice for Iran
Ask Foreign Advisor about Burundi

If you have any suggestions to improve our application please contact us info@lowaire.com."
5.0,5 users,Arts & lifestyle,HMR Helper,Ramneek Kalra,"HMR Agent helps you out with any queries regarding MARC 2018 Springer International Conference which is going to be held at HMR Institute of Technology and Management, New Delhi.
To know more: http://hmritm.ac.in/marc2018/"
5.0,3 users,Arts & lifestyle,imrc baavlo,IMRC 2018 Team,"Mr Baavlo is the Mascot for the IMRC 2018 Convention. He is an imaginary character associated with the theme of the convention.

There are a few playful questions he can answer, such as where are you from? are you married? etc.

He also answers informational questions about the event such as:
what can i do now? or what can I do on Jul 1st at 4pm?"
4.3,6 users,Arts & lifestyle,Rezility,Extentia,"Discover personalized opportunities, useful services and local fun, every day!
Favorite a feed to read later at your convenience. Follow an organization.
Discover people, places and what’s new around you — whether at home, at work or in the community.
Identify opportunities in your virtual neighborhood, and helpful services where you are or where you plan to be.

Listed below are a few ways our action for Rezility will help you out. But don’t be restricted by this list, there is a plethora of search options for abundant requirements!

Here are a few utterances to help you get started:
1.    Ok Google, talk to Rezility.
2.    Ok Google, ask Rezility to get nearby properties.
3.    Ok Google, ask Rezility to get me some feeds.
4.    Ok Google, ask Rezility to tell me about Employment assistance."
3.0,2 users,Arts & lifestyle,Huawei Joburg Day,Blu Bnana,"Huawei Joburg Day 2018 is finally here. 1 September 2018 at Crocodile Creek in Lanseria, Johannesburg. 

This annual celebration of music, fashion, family, friends and fun in the sun of Johannesburg. Join in on this spring day extravaganza with non stop fun brought to you by 94.7 and Huawei.    

Ask Huaweii Joburg Day 2018 about the music line up or find out where and how to get tickets. Why not ask Huawei Joburg Day 2018 how to get to Crocodile Creek Polo Estate?

I am here to help you find out all you need about Joburg day. 

#joburgday2018"
4.2,5 users,Arts & lifestyle,Rage Expo Experience,Blu Bnana,"rAge is South Africa’s biggest annual video gaming, computer, technology and geek culture exhibition. 

Talk to Susan your personal Rage Expo Smart assistant. Let her tell you about the event or help you get the tickets or let her get you in touch with the event organiziers. 

Looking forward to chatting to you."
4.5,2 users,Arts & lifestyle,SpotHero,SpotHero,"SpotHero saves you time, money and stress on parking. Easily book a great parking spot at thousands of garages, lots, and valets nationwide. SpotHero helps you get everywhere, easier."
4.7,7 users,Arts & lifestyle,IZITA BUDDY,ARJUN A,"IZITA 2.0 is the Annual Flagship National Event of IEEE Student Branch of Adi Shankara Institute of Engineering and Technology, Kalady. IZITA goes live on 16th of August 2018 to 19th of August. Get ready to experience something real cool people :)"
2.5,11 users,Arts & lifestyle,Weekend with Kids,Leland G,"Weekend with kids will give you suggestions on fun things to do with your kids over the weekend, based on your location, the weather, and other factors."
4.0,9 users,Arts & lifestyle,Heavy Metal Detector,,Use Heavy Metal Detector to find metal concerts by city or see if your favorite metal band is touring!
4.0,6 users,Arts & lifestyle,Little Vietnam Tours,,"Explore travel to Vietnam and Southeast Asia, get answers to your travel questions.  You can request a custom itinerary for a private tour, with your own private guide, specific to what you want to experience and your style of travel!  Just by asking."
4.3,14 users,Arts & lifestyle,Dev Roma,Antonella Blasetti,"Dev Roma Helper (BAFYC_Roma) is used to give information about  Developer Group Roma meetups, events and courses. And how to get updated news about out activities. We have 2 main goals:
Inform about the free activities of our community
Learn and let members learn how to create and improve voice apps"
4.3,6 users,Arts & lifestyle,GDG DevFest CFPs,Aygul Zagidullina,"GDG DevFests are large, community-run developer events happening around the globe focused on community building and learning about Google’s technologies. Have you ever missed an event that you really want to speak at but didn’t learn about its CFP deadline until it was too late? GDG DevFest CFPs is here to help you find your next DevFest to join as a speaker. It can give you all open calls for papers (CFPs) for any specific location (city, country or region)."
4.1,17 users,Arts & lifestyle,The Energy Conference,KPMG LLC,"Wether you are interested in attending or plan on attending, you can ask our virtual assistant the questions you need answered about the event and the topics covered."
3.5,126 users,Arts & lifestyle,Minnestar Bot,,Minnestar bot is the unofficial bot of Minnebar and Minnedemo
1.9,27 users,Arts & lifestyle,Salon Professional,Revel Digital,Powered by Revel Digital to create a beauty salon assistant kiosk that will interact with Revel Digital's  CMS.
4.0,36 users,Arts & lifestyle,Beauty Mirror,HiMirror,"Beauty Mirror is dedicated for HiMirror user to get some skincare tips and read the skin and body report.  Beauty Mirror provides a new way for HiMirror user to experience HiMirror products and services.  You can inquiry the tips for different skincare factors to help your condition.  You can try to say :

-Get skin report
-Get body report
-Get skincare tips

If you would like to get started this Beauty Mirror, you have to complete the ""Account Linking"" procedure.  Please enter your HiMirror account which you have registered first in the HiMirror official website. (https://www.himirror.com/)


Disclaimer:
This action does not provide medical advice, and is for informational and educational purposes only, and is not a substitute for professional medical advice, treatment or diagnosis. Call your doctor to receive medical advice. If you think you may have a medical emergency, please dial your local emergency response phone number."
4.0,36 users,Arts & lifestyle,Witty Pickup line,Nitin Naidu,Witty Pickup line is your buddy as an ice-breaker for conversation starters. It gives you some of the best conversation starters to get going.
4.4,114 users,Arts & lifestyle,Beauty Companion,Apoorva Tiwari,Beauty Companion is an advisory app which helps you to prettify yourself and look more physically attractive. This app unveil some tips and tricks for acquiring natural beauty.
4.5,45 users,Arts & lifestyle,Salon & Spa Finder,Google Inc.,Ask your Assistant about salons and spas nearby
0.0,0 users,Arts & lifestyle,Liv at Estée Lauder,Estée Lauder Inc.,"Good skin starts the night before. Find the right products, stick to your skincare routine, and get expert advice to refine your perfect nightly ritual."
