Rating,Users,Field,Action,Developer,Description
0.0,0 users,Arts & lifestyle,Spark a Saying,Spark Support,"Hey, friend. We are Spark. 
We're a mental health charity, and we've developed our very first Google Home skill to try and help you through days when you might not be feeling at your best. 
Ask us for something to help you through, and we'll do our best to help!"
4.0,36 users,Arts & lifestyle,Witty Pickup line,Nitin Naidu,Witty Pickup line is your buddy as an ice-breaker for conversation starters. It gives you some of the best conversation starters to get going.
0.0,0 users,Arts & lifestyle,Mind Blowing Facts,MBF,Mind blowing facts from around the world. Strange creepy facts and more
5.0,1 users,Arts & lifestyle,The Fred Factor Reader,Abacies Logiciels,"This app will help you to understand more about the classic bestseller book "" The Fred Factor Reader "" Mark Sanborn"
2.7,3 users,Arts & lifestyle,Jaden Smith Quotes,,This action provides Jaden Smith quotes.
3.0,6 users,Arts & lifestyle,Chicago Code Camp,Chicago Code Camp,"Chicago Code Camp is a daylong polyglot developer conference hosted for the local and regional developer community.

The Chicago Code Camp assistant is here to help with any information you need about this year's CCC!  Ask about the keynote, food, and even the lovely volunteers."
5.0,1 users,Arts & lifestyle,The Arizona Daily Star,,"Get the weather in Tucson, latest news briefs from the Arizona Daily Star, and check the Tucson Classifieds."
3.0,6 users,Arts & lifestyle,Jackson Locals,Jackson Locals,Jackson Locals provides current information for the Jackson Hole region.
3.5,4 users,Arts & lifestyle,All Things Hair,Unilever,"All Things Hair by Unilever

Welcome to the All Things Hair app, your online hair advisor! Our beauty editors at Unilever love trying out hundreds of styles and products to give you the best hair tips and inspiration.

Once you’ve enabled All Things Hair, you can explore the three key features:

1. A free search
You can ask and find out everything about any hairstyle and get specific haircare advice too. Just say what you have in mind:

‘Advice on wedding hairstyles’
‘Tell me what hairstyles look good with thin hair’
‘Show me Dutch braids’
‘Advice for summer hair color ideas’
‘Help me with dandruff’
‘How do I do natural hair updos’ 
‘How to deal with split ends’

2. Discover a new look, and find tutorials to help you

If you’re not sure about how to style your hair, we can suggest the perfect look based on your hair type, an upcoming event, or even the time of the year. If you feel inspired to try out a hairstyle, you will have access to tutorials that will guide you through the process step by step, giving you time to complete each one. You can pause & resume; it will remember where you were. 

Just say ‘inspire me’. You can always go back to searching for a new hairstyle at any time by saying ‘find another look’, or go back to the menu. 

3. Hair care and product tips 

We can give you instant access to essential hair care information and must-have products.  We can then email you the haircare advice and style guides so you can refer to them later – just say ‘Send me the look’. We can then send the products used to your inbox.

If you’d prefer to not receive emails, you can change the settings. You can turn them back on if you change your mind.

Enabling All Things Hair is simple. Tap the green ‘Install’ button on this page, enter your name & email address (so we can send you your products and tips), verify your account (click the link in the email we send), and get started with ‘Google, talk to All Things Hair!’.

For lots more handy information on how to use this skill, head to www.allthingshair.com or search ‘All Things Hair’. We hope you’ll enjoy it. If you like it, the best way to tell us is with some stars."
5.0,3 users,Arts & lifestyle,360Wichita,360Wichita,"Find things to do in Wichita, Kansas. Events, restaurants, businesses and more."
4.2,104 users,Arts & lifestyle,Dress Right,Andrew Van Haasteren,"Get outfit ideas based on local weather conditions. Never get caught in the rain again!

**What's New** -- Outfit Photos -- Explore Similar Items -- Product Links

**Coming Soon** -- Work Outfits -- Add to Routines

Weather forecasts powered by Dark Sky"
4.3,31 users,Arts & lifestyle,Island Echo,Xevio,"The Island Echo's Google Assistant companion app. Headlines straight from the Isle of Wight's only 24 hour breaking news source, delivering all the latest news and information from across the island.
IslandEcho.co.uk for more details."
5.0,6 users,Arts & lifestyle,GDG Philippines,Jomar Tigcal,Official Google Assistant App for the Google Developers Group (GDG) Philippines community. You can ask it about the upcoming events and more information about GDG Philippines.
4.2,15 users,Arts & lifestyle,Michael Kors Access Chat,,"Whether you're shopping for a smartwatch, setting one up, or looking to accessorize your watch with new straps, Michael Kors Access Smartwatch Chat is here to help. 

From step-by-step setup guides to street style inspiration, feature overviews and more, you’ll be a Michael Kors Access expert in no time.   

To get started, simply say, “Ok Google, talk to the Michael Kors Access Smartwatch Chat,” to any Google Assistant-enabled device."
4.0,28 users,Arts & lifestyle,Denim Deeva,Steve Sharp,Denim Diva answers all your questions about denim to help you look and feel great!
1.7,6 users,Arts & lifestyle,Arroyo Seco Weekend,AEG Presents,An informational assistant that can answer questions about the Arroyo Seco Weekend Festival
4.1,36 users,Arts & lifestyle,Natal Charts,,"Gives someone's natal chart, or alternitively, only one sign (of a particular planet/body).

You will be asked for their date of birth, and might ask for time and place of birth, if required.

Chart information includes Sun, Moon, planets, Chiron, Lilith, Ascendant and all houses (in case the time and place of birth is given).

Please share your feedback if any!


Sample conversation:

you: Talk to Natal Charts

Natal Charts: Hi! You can ask for a Moon sign. Pluto sign. Or any planet sign. Or to read the full chart.

you: Give me the full chart

Natal Charts: Tell me the date of birth.

you: September 20th, 1990.

Natal Charts: What is the time of birth? For example, 9 PM. If you are unsure, you can say I don't know.

you: I don't know

Natal Charts: What is the city, or country of birth? For example, London. If you are unsure, you can say I don't know.

you: Toronto

Natal Charts: Is it Toronto, in Canada?

you: yes

Natal Charts: Here is the natal chart:

The Sun is in Virgo.
Mercury is in Virgo.
Venus is in Leo.
Mars is in Cancer.
Jupiter is in Cancer.
Saturn is in Leo.
Uranus is in Scorpio.
Neptune is in Sagittarius.
Pluto is in Libra.
Chiron is in Taurus.
Lilith is in Aquarius.
Planets that are not mentioned require time of birth. Those include Moon, Ascendant, Midheaven and the other houses."
3.7,26 users,Arts & lifestyle,TarooMe,Mehul Kumar Nirala,"Taroo Me gets daily, weekly, monthly horoscope for you. Just plug in your zodiac sign."
3.9,7 users,Arts & lifestyle,Mr. Spring,Botdreams,"Mr. Spring is the official virtual butler of Spring Hotels. Currently, it can help you achieve the best experience during your stay in Spring Hotel Vulcano, located in Tenerife, Canary Islands. It helps you find the best experiences in our Spa & Thalasso center; it can answer many of your questions about the hotel and your stay; and can help you adapt the light and music ambience in your room during your stay."
3.3,86 users,Arts & lifestyle,FlipFlop,,"Flipflop lets you get the suggestions on what to wear based on the weather in a given city. For example you can ask ""What should I wear in New York today""?"
2.5,67 users,Arts & lifestyle,Zodiac Sign Finder,Myself,Zodiac sign finder lets you to find your zodiac sign.
4.2,193 users,Arts & lifestyle,Star Horoscope,Starbutter AI,"Star Horoscope uses modern astrological techniques to produce precise readings.  Our AI reader Zora gives fun and positive advice about your relationships, career, finances, health and almost every area of your life. She also learns what you care about over time and gives you customized feedback for Gemini horoscopes or today's zodiac for Pisces.

No matter what part of your future you're curious about, or if you're a Libra, Aries, Scorpio, or Cancer, we've got your back. We believe horoscopes are a meaningful form of communication that makes people feel a sense of purpose and validation.

This AI assistant is constantly searching for thousands of quotes with deep and rich meanings, with new quotes served every day!

EXAMPLES
Ways you can talk to Star Horoscope:
""OK Google, give me a Libra horoscope""
""OK Google, Horoscope for Aries.""
""OK Google, I want a Daily Reading.""
""OK Google, Capricorn Zodiac.""

TECHNOLOGY
Introducing Zora of Star Horoscope - an interactive, conversational agent.  Unlike dumb bots based on rules, Star Horoscope has a sophisticated natural language processing and machine learning core.  She learns and gets better over time, helping target inspirational star wisdom for you.

COMPANY 
Star Horoscope is built by Starbutter AI, the world's expert on interactive conversational agents.
www.starbutter.com"
3.8,107 users,Arts & lifestyle,ELLE Horoscopes by The Astro Twins,Hearst,"Get your daily horoscopes from ELLE + The Astro Twins. Dubbed ""astrologists for the stars,"" identical twin sisters known as The AstroTwins—are professional astrologers whose sisterly style and spot-on predictions have made them popular gurus for astrological devotees of all stripes. Tali and Ophira have done personal readings for dozens of celebrities, including Beyonce, Stevie Wonder, Sting, Leann Rimes, and Avril Lavigne."
3.0,1 users,Arts & lifestyle,Capital Realtors,Voiceter Pro LLC,"The Greater Capital Association of REALTORS®, Inc. (GCAR),  is a professional trade association which provides its members value through programs and services, promotes cooperation and ethics among its members, and supports public property rights.
GCAR strives to provide its members with programs and services which enhance the members’ ability to successfully conduct their businesses in a competent and ethical manner, and to promote the public’s right to use and transfer real property.

Powered by Voiceter Pro."
0.0,0 users,Arts & lifestyle,Worthington Libraries,Pellucent Technologies LLC.,"You can search for upcoming events at any of the following Library locations within Worthington Libraries, in Worthington, Ohio:
1. Old Worthington Library
2. Northwest Library
3. Worthington Park Library
 
SAMPLE QUESTIONS:
 
Search events for any date and age group at any Library branch:
* What's happening today?
* What's going on today at Worthington Park Library?
* What's going on this week at Old Worthington Library?
* Are there any events for kids today?
* Are there any events for teens this week?
* Are there any events for toddlers this weekend?
* Are there any events for adults next week?
     
----------------------
AGE GROUPS OPTIONS
- 'Children' ( or 'Babies' or 'Toddlers' or 'Preschoolers' or 'Kids' or 'Tweens')
- 'Teens'
- 'Adults'
- 'All ages'
  
----------------------
While hearing event details, navigate faster between the events by saying: 
* Next 
* Previous 
* Repeat 
 
We would love to hear your feedback and suggestions for new features. 
Please leave your feedback with any Library staff member. Thanks!"
2.0,1 users,Arts & lifestyle,Barbados Electoral,Electoral & Boundaries Commission,"EBCBOT helps you see your Constituency, Polling District and Polling Station in Barbados"
1.2,4 users,Arts & lifestyle,events finder,,"Find events and activities locally or globally, service can give events location and time. Events can be searched for in a number of ways including

1. A specific event by name
2. Events for a certain category (musicals, family, sporting events)
3. A specific date can be given or a generic date range (i.e next week/month)"
0.0,0 users,Arts & lifestyle,Virginia Trout Buddy,Eric Miles,"Get information on past Virginia Department of Game & Inland Fisheries trout stocking. You can ask for recent stockings, stockings for a specific date, stockings for a date range, or stockings for a specific county. Note - the VDGIF does not provide future dates, they report after the stocking has been completed. Virginia Trout Buddy is Echo Show enabled, plotting stocking locations on a map of Virginia. This Skill is in no way affiliated with the Virginia Department of Game & Inland Fisheries."
0.0,0 users,Arts & lifestyle,GUG.cz,Denis V.,"GUG Czech Republic can help you with finding your next event or closest GUG to you. You can ask for next event, time of the next event or list of next events for GDG, GEG, GXG, GBG or even a local group (GDG Ostrava for example)."
3.7,3 users,Arts & lifestyle,Meetup info,Jana Bergant,"Meetup info is an app that helps you find upcoming meetups, list trough them, and read information about them"
0.0,0 users,Arts & lifestyle,My Sachse,Imaginuity,Learn more about the City of Sachse
4.2,9 users,Arts & lifestyle,Teak's conversation,teak Berger,Have you ever not known what to do with friends!  Well now you can just ask and we will provide you with options until you find one that you like.
4.3,6 users,Arts & lifestyle,Rezility,Extentia,"Discover personalized opportunities, useful services and local fun, every day!
Favorite a feed to read later at your convenience. Follow an organization.
Discover people, places and what’s new around you — whether at home, at work or in the community.
Identify opportunities in your virtual neighborhood, and helpful services where you are or where you plan to be.

Listed below are a few ways our action for Rezility will help you out. But don’t be restricted by this list, there is a plethora of search options for abundant requirements!

Here are a few utterances to help you get started:
1.    Ok Google, talk to Rezility.
2.    Ok Google, ask Rezility to get nearby properties.
3.    Ok Google, ask Rezility to get me some feeds.
4.    Ok Google, ask Rezility to tell me about Employment assistance."
3.8,6 users,Arts & lifestyle,Sunfish Events,Rai Integration Ltd,"Search through one of the world's largest collection of events, taking place in local near you or in cities around the world, from concerts and sports to singles events and political rallies. 

All by just asking Google what's on near you. 

This action is powered by Eventful, For eventful terms and conditions refer this URL -  http://policies.cbslocal.com/terms-of-use/"
3.2,8 users,Arts & lifestyle,Foreign Advisor,Lowaire Digital,"Foreign Advisor can provide you with the latest Government travel advice information and updates. 

You can say things like:
Ask Foreign Advisor for Information about Algeria
Ask Foreign Advisor about Afghanistan
Ask Foreign Advisor for travel advice for Iran
Ask Foreign Advisor about Burundi

If you have any suggestions to improve our application please contact us info@lowaire.com."
3.0,2 users,Arts & lifestyle,Huawei Joburg Day,Blu Bnana,"Huawei Joburg Day 2018 is finally here. 1 September 2018 at Crocodile Creek in Lanseria, Johannesburg. 

This annual celebration of music, fashion, family, friends and fun in the sun of Johannesburg. Join in on this spring day extravaganza with non stop fun brought to you by 94.7 and Huawei.    

Ask Huaweii Joburg Day 2018 about the music line up or find out where and how to get tickets. Why not ask Huawei Joburg Day 2018 how to get to Crocodile Creek Polo Estate?

I am here to help you find out all you need about Joburg day. 

#joburgday2018"
5.0,5 users,Arts & lifestyle,HMR Helper,Ramneek Kalra,"HMR Agent helps you out with any queries regarding MARC 2018 Springer International Conference which is going to be held at HMR Institute of Technology and Management, New Delhi.
To know more: http://hmritm.ac.in/marc2018/"
5.0,3 users,Arts & lifestyle,imrc baavlo,IMRC 2018 Team,"Mr Baavlo is the Mascot for the IMRC 2018 Convention. He is an imaginary character associated with the theme of the convention.

There are a few playful questions he can answer, such as where are you from? are you married? etc.

He also answers informational questions about the event such as:
what can i do now? or what can I do on Jul 1st at 4pm?"
4.2,5 users,Arts & lifestyle,Rage Expo Experience,Blu Bnana,"rAge is South Africa’s biggest annual video gaming, computer, technology and geek culture exhibition. 

Talk to Susan your personal Rage Expo Smart assistant. Let her tell you about the event or help you get the tickets or let her get you in touch with the event organiziers. 

Looking forward to chatting to you."
4.5,2 users,Arts & lifestyle,SpotHero,SpotHero,"SpotHero saves you time, money and stress on parking. Easily book a great parking spot at thousands of garages, lots, and valets nationwide. SpotHero helps you get everywhere, easier."
4.7,7 users,Arts & lifestyle,IZITA BUDDY,ARJUN A,"IZITA 2.0 is the Annual Flagship National Event of IEEE Student Branch of Adi Shankara Institute of Engineering and Technology, Kalady. IZITA goes live on 16th of August 2018 to 19th of August. Get ready to experience something real cool people :)"
4.3,6 users,Arts & lifestyle,GDG DevFest CFPs,Aygul Zagidullina,"GDG DevFests are large, community-run developer events happening around the globe focused on community building and learning about Google’s technologies. Have you ever missed an event that you really want to speak at but didn’t learn about its CFP deadline until it was too late? GDG DevFest CFPs is here to help you find your next DevFest to join as a speaker. It can give you all open calls for papers (CFPs) for any specific location (city, country or region)."
4.0,6 users,Arts & lifestyle,Little Vietnam Tours,,"Explore travel to Vietnam and Southeast Asia, get answers to your travel questions.  You can request a custom itinerary for a private tour, with your own private guide, specific to what you want to experience and your style of travel!  Just by asking."
4.3,14 users,Arts & lifestyle,Dev Roma,Antonella Blasetti,"Dev Roma Helper (BAFYC_Roma) is used to give information about  Developer Group Roma meetups, events and courses. And how to get updated news about out activities. We have 2 main goals:
Inform about the free activities of our community
Learn and let members learn how to create and improve voice apps"
4.0,9 users,Arts & lifestyle,Heavy Metal Detector,,Use Heavy Metal Detector to find metal concerts by city or see if your favorite metal band is touring!
2.5,11 users,Arts & lifestyle,Weekend with Kids,Leland G,"Weekend with kids will give you suggestions on fun things to do with your kids over the weekend, based on your location, the weather, and other factors."
4.1,17 users,Arts & lifestyle,The Energy Conference,KPMG LLC,"Wether you are interested in attending or plan on attending, you can ask our virtual assistant the questions you need answered about the event and the topics covered."
0.0,0 users,Arts & lifestyle,Ansari's Handloom,Muskan Pathan,Ansari Handloom is able to serve from last 3 decades in Jodhpur. The traditional way of living is reflected in our products with world class quality for import export. You can talk to our assistant about various types of services being offered. Hope you will find it very useful.
2.1,18 users,Arts & lifestyle,CulturalERICA,eHERITAGE H2020,Cool Erica helps you find out stuff about Europe's cultural heritage
0.0,0 users,Arts & lifestyle,Creative Coach,Punchcut,"Enhance your creativity with the support of Creative Coach. Ask each day for an exercise in photography, drawing, writing, or design.

Share your daily creations with #CreativeCoach!"
2.5,4 users,Arts & lifestyle,Thrilling Travel,ThrillingTravel,"Travel recommendation are based on your context and requirement. It can also give you information about cities and various types of destinations such as heritage, culture, beach etc.."
0.0,0 users,Arts & lifestyle,Info about Opera,Google Inc.,"Learn facts about opera, such as composer, language, and characters"
0.0,0 users,Arts & lifestyle,Biggest Spectacle,Zahoor Ali,We are creating awareness towards lack of encouragement for local artist. This handmade spectacle was created to bring lime light towards addressing the issue.
5.0,1 users,Arts & lifestyle,Inauspicious Time Finder,Roopak Venkatakrishnan,There are different times of the day that are considered inauspicious in hindu culture. These times are known as Rahukalams. This app finds the rahukalam according to where you are so that you know what times to avoid starting new ventures.
3.0,2 users,Arts & lifestyle,smARTÉ artwork,smARTE,"Describes the smARTÉ artwork thats in front of you, not any artwork, only the ones produced by us."
5.0,2 users,Arts & lifestyle,Visit Latina,Massimo Di Leo,"Do you want to know more about Latina, the astonishing city of Italy? Ask ""Visit Latina""! This is the ultimate guide to discover art, culture and entertainment events in Latina! Enjoy it!"
5.0,1 users,Arts & lifestyle,Info about Music Albums,Google Inc.,"Get info about albums, like artist, release date and genre"
0.0,0 users,Arts & lifestyle,Facts about Artwork,Google Inc.,"Learn facts about artwork, such as location, period, and artist"
5.0,1 users,Arts & lifestyle,TravelOne,izi.TRAVEL,"TravelOne is a dedicated access to the izi.TRAVEL - the Open Storytelling Platform. 

On izi.TRAVEL close to 10,000 free audio guides in 99 countries and 50 languages are published. Museums, historic associations, city marketing and universities share their local knowledge with their visitors. Every day 5-10 new tours are published."
5.0,2 users,Arts & lifestyle,Trip Assist,Tripist,"Tripist is your traveling companion, with information about virtually every country in the world."
0.0,0 users,Arts & lifestyle,Info about Theaters,Google Inc.,"Learn facts about theaters, such as upcoming events"
0.0,0 users,Arts & lifestyle,Theater Play Facts,Google Inc.,"Ask your Assistant for facts about plays, such as characters and publication date"
0.0,0 users,Arts & lifestyle,Architect Facts,Google Inc.,"Ask your Assistant for facts about architects, such as biography, books, and awards"
3.9,116 users,Arts & lifestyle,Horoscope TV,Horoscope TV,"With this free horoscope application you'll have access to daily horoscopes, love horoscopes, work horoscopes & Chinese astrology.  Available for the current, next and previous days.  Don't know your western or Chinese zodiac sign?  Find out by asking: ask Daily Horoscopes what is my zodiac sign?"
5.0,1 users,Arts & lifestyle,mister baavlo,IMRC 2018,"Baavlo is the Mascot for the IMRC 2018 Convention. It is an imaginary character associated with the theme of the convention. Users can interact with it in a chat bot style.

There are a few playful questions he can answer, such as where are you from? are you married? etc.

He also answers informational questions about the event such as:
what can i do now? or what can I do on Jul 1st at 4pm?"
4.0,7 users,Arts & lifestyle,The Artist's Companion,"Gunnika Batra, Kautuk Kundan","The Artist's Assistant is an artwork recommendation app that lets the user find references for his/her artwork by specifying the type, medium and difficulty level required."
5.0,1 users,Arts & lifestyle,Maruti Suzuki Hello,Codroit Tech Pvt Ltd,This is an assistant for Maruti and all the information related to Auto Expo 2018.
0.0,0 users,Arts & lifestyle,Museum Facts,Google Inc.,"Ask your Assistant for facts about museums, such as founding date, events, and founder."
3.5,126 users,Arts & lifestyle,Minnestar Bot,,Minnestar bot is the unofficial bot of Minnebar and Minnedemo
5.0,1 users,Arts & lifestyle,Info about Poems,Google Inc.,"Learn facts about poems, such as author, publication date, and language"
5.0,3 users,Arts & lifestyle,Board Game Genie,Syeed Ibn Faiz,"Board Game Genie can tell you about thousands of board games. It can also suggest board games that are similar to ones you know about.

Board Game Genie uses data about board games collected from www.boardgamegeek.com."
3.0,2 users,Arts & lifestyle,Info about TV stations,Google Inc.,"Learn facts about TV stations such as channels, headquarters, and TV shows"
3.6,10 users,Arts & lifestyle,Katsu Hayabi,Amanda Cavallaro,Katsu hayabi is a question & answer game created to test your aikido knowledge. Let's see how much you know about it?
5.0,1 users,Arts & lifestyle,Solitary Captures,,"Solitary Captures is a photography page by a boy  Koustav Manna on Instagram . 
Here you can find some good clicks from mobile.
All clicks are captured by original thoughts. 
so all the pictures are under copyright.
you can take permission and use the photos ."
0.0,0 users,Arts & lifestyle,Facts about Buildings,Google Inc.,"Learn facts about buildings, such as opening date and location"
4.5,2 users,Arts & lifestyle,Yogi Quiz,Cleo Whittingham,"Namaste. Are you a true yogi? The Yogi quiz will test your knowledge whilst you learn more about the history and some of the meanings behind the words, terms and phrases used in yoga."
5.0,6 users,Arts & lifestyle,Discover Japan,,"DiscoverJapan let's you know more about japanese culture, art and places."
4.8,4 users,Arts & lifestyle,Test your Literary Knowledge,Wagner INC,See how much you know about literary devices and literature. Great for review or test prep.
4.3,3 users,Arts & lifestyle,SRM Milan,T.R.Rohith,"SRM Milan is a huge fest and you might feel lost at times. Don't you worry , I am here to help! You can ask me about any query you have regarding timings, locations or dates of the fest and I will give you the best information for the same."
4.2,8 users,Arts & lifestyle,Tamil Facts,SaravananG,App tells you the facts about Tamil Language.
5.0,1 users,Arts & lifestyle,Info about Architecture Structures,Google Inc.,"Find info about architecture structures, like location and hours"
5.0,2 users,Arts & lifestyle,All about Colors,,All About Colors can tell you information about any color. It can convert your color from RGB to HSL and hexadecimal. It also tells you the complementary color of your color.
4.5,2 users,Arts & lifestyle,Info about TV writers,Google Inc.,"Learn facts about TV writers, such as height, birthdate, and biography"
0.0,0 users,Arts & lifestyle,Info about Fashion Week,Google Inc.,"Learn facts about fashion week, such as venue, location, and schedule"
3.6,5 users,Arts & lifestyle,Heroes Master,mmyumu,"Heroes Master can help you while you are playing Heroes of the storm by providing you some useful information such as:
 - the counters of a hero
 - the heroes who have a good synergy with another hero
 - the best maps of a hero
 - the worst maps of a hero

The information are provided by www.icy-veins.com"
4.4,9 users,Arts & lifestyle,Art Quiz,The Cato Bot Company Limited,How good are you with art? Listen to short descriptions of paintings and try to name them! You can always ask for a hint.
0.0,0 users,Arts & lifestyle,Musical Group Facts,Google Inc.,"Ask your Assistant for facts about musical groups, such as lead singer, members, origin, and albums"
0.0,0 users,Arts & lifestyle,Info about TV characters,Google Inc.,"Learn facts about TV characters, such as significant other and creator"
4.6,12 users,Arts & lifestyle,Adam's Quiz,,Do you love art? Then you'll love Adam's Quiz!
4.5,2 users,Arts & lifestyle,Book Facts,Google Inc.,"Ask your Assistant for facts about books, such as author and genre"
3.7,11 users,Arts & lifestyle,Color Info,Steffen Weidenhaus,Color Info lets you get info about a particular color. It's an indispensable tool for web developers and designers.
4.6,45 users,Arts & lifestyle,Tokyo Art,Hirokazu Takatama,Tokyo Art lets you find popular art events in Tokyo. Powered by Tokyo Art Beat (http://www.tokyoartbeat.com).
5.0,1 users,Arts & lifestyle,Facts about Film Characters,Google Inc.,"Learn facts about film characters, such as books and creator"
5.0,1 users,Arts & lifestyle,Film Writer Facts,Google Inc.,"Ask your Assistant for facts about writers, such as movies, biography, awards, and spouse"
4.4,98 users,Arts & lifestyle,Memorize It,,Memorize It helps you memorize your School work by using Gamified Quiz
4.8,5 users,Arts & lifestyle,Facts about Films,Google Inc.,"Get info about films, such as box office results and trailers"
5.0,1 users,Arts & lifestyle,Music Genre Facts,Google Inc.,"Ask your Assistant for facts about music genres, such as founding date and origins"
5.0,1 users,Arts & lifestyle,Facts about Visual Artists,Google Inc.,"Learn facts about visual artists, such as biography and quotes"
4.3,6 users,Arts & lifestyle,Info about TV programs,Google Inc.,"Find info about TV programs, like cast and episodes"
0.0,0 users,Arts & lifestyle,Info about TV directors,Google Inc.,"Learn facts about TV directors, such as height, movies, and birthdate"
4.1,14 users,Arts & lifestyle,Today in Music,Jesse Friedman,"Expand your knowledge of musical history with the Today in Music app! Open the app to hear a Spotify sample of the track in the #1 spot on the Billboard Hot 100 on the current month and day in a random year between 1956 and 2015.

NOTE: The Today in Music app provides no filtering of tracks by subject matter or lyrical content - explicit tracks that placed in the #1 spot on the Hot 100 may be played by this app.

""Spotify"" is a registered trademark of Spotify AB. ""Billboard"" and the ""Hot 100"" name are registered trademarks of Billboard IP Holdings, LLC. Neither the Today in Music app nor its author have any affiliation with either of the above companies."
0.0,0 users,Arts & lifestyle,Facts about Film Directors,Google Inc.,"Find info about directors, like age and movies"
5.0,1 users,Arts & lifestyle,Info about Film Producers,Google Inc.,"Find info about producers, like age and movies"
5.0,2 users,Arts & lifestyle,Actor Facts,Google Inc.,"Ask your Assistant for facts about actors, such as birthdate, age, movies, and height"
4.1,36 users,Arts & lifestyle,Info about TV actors,Google Inc.,"Learn facts about TV actors such as height, full name, and age"
4.3,77 users,Arts & lifestyle,Facts about Musicians,Google Inc.,"Learn facts about musicians, such as biography, name, and albums"
0.0,0 users,Arts & lifestyle,Westminster Catechism,jdanielcook,"Man's chief end is to glorify God, and to enjoy him forever. We hope this tool will help you memorize theological truths so that you may fulfill your chief end. The Westminster Catechism was completed in 1647 and provides a simple question and answer format to learn biblical truths."
4.5,55 users,Arts & lifestyle,Book Author Facts,Google Inc.,"Ask your Assistant for facts about authors, such as birthdate, quotes, books, and biography"
3.0,3 users,Arts & lifestyle,The Good Shepherd,The Good Shepherd Orthodox Church Inc.,The Good Shepherd App can tell you the Antiochian Orthodox fasting rules for any given day.
4.7,6 users,Arts & lifestyle,Islam FAQ,Panacloud,"do you have some FAQs about Islam? I will try to answer your questions, just say"
